company_size,industry,lead_source,website_visits,pages_per_session,email_opens,email_clicks,content_downloads,webinar_attended,demo_requested,days_since_first_touch,days_since_last_activity,converted
51-200,Professional Services,Direct,6,5.6,3,2,1,0,0,162,86,0
1000+,Financial Services,Direct,3,6.5,5,3,4,1,1,20,68,1
201-500,Technology,Organic Search,4,5.5,3,2,1,1,0,175,2,0
51-200,Technology,Direct,4,4.1,3,1,0,1,0,109,72,0
11-50,Technology,Direct,4,5.1,3,0,1,0,0,102,89,1
1000+,Professional Services,Social Media,4,8.1,1,1,0,0,0,33,37,1
201-500,Education,Paid Ads,6,10.8,4,0,2,0,0,112,45,0
1000+,Technology,Organic Search,6,8.1,5,0,1,0,0,107,2,0
1-10,Retail,Paid Ads,5,8.1,4,3,2,0,0,126,54,0
501-1000,Technology,Organic Search,7,10.0,1,0,2,0,0,28,68,0
51-200,Manufacturing,Paid Ads,4,2.8,4,1,1,0,0,114,18,1
1-10,Professional Services,Organic Search,4,4.3,3,2,0,0,0,17,56,0
51-200,Healthcare,Referral,2,1.6,1,1,1,1,0,13,23,1
201-500,Technology,Social Media,3,4.8,2,0,2,0,0,85,12,1
1-10,Manufacturing,Organic Search,2,12.0,1,1,4,0,0,22,2,1
51-200,Education,Direct,4,4.6,2,0,4,0,1,128,68,0
501-1000,Financial Services,Organic Search,6,10.5,1,1,2,0,0,87,19,1
11-50,Technology,Paid Ads,11,1.9,0,0,0,0,0,43,13,0
51-200,Technology,Referral,4,6.1,2,0,1,0,0,49,86,0
51-200,Manufacturing,Referral,7,4.9,8,1,0,0,0,90,66,0
11-50,Manufacturing,Paid Ads,7,3.2,3,1,2,0,0,108,23,0
1000+,Professional Services,Social Media,5,5.1,2,0,3,1,0,143,64,0
201-500,Professional Services,Paid Ads,7,8.2,2,0,2,0,1,103,44,0
1-10,Professional Services,Paid Ads,7,6.4,2,0,1,0,1,99,0,0
1000+,Professional Services,Referral,10,10.3,2,1,6,1,0,109,24,1
501-1000,Financial Services,Organic Search,7,11.0,3,1,0,1,0,107,69,0
11-50,Manufacturing,Direct,4,6.3,4,1,0,0,0,63,64,1
501-1000,Financial Services,Referral,6,11.8,4,1,0,0,1,40,36,1
1-10,Financial Services,Organic Search,5,1.8,4,1,0,0,0,95,88,0
1000+,Education,Event,6,4.0,3,2,2,0,0,23,45,1
201-500,Retail,Social Media,4,5.6,3,0,2,0,0,44,1,0
201-500,Education,Paid Ads,5,7.4,5,1,0,0,0,27,86,0
1-10,Healthcare,Direct,3,7.0,0,0,3,0,0,88,2,0
501-1000,Manufacturing,Referral,6,7.2,1,0,2,0,1,175,82,1
1-10,Manufacturing,Organic Search,2,10.9,6,2,2,1,0,157,6,0
11-50,Technology,Event,5,4.1,6,0,1,0,0,16,34,0
1-10,Financial Services,Direct,5,10.0,2,1,2,1,0,148,4,1
201-500,Manufacturing,Paid Ads,1,7.1,0,0,1,0,0,28,63,0
11-50,Technology,Organic Search,4,6.4,4,1,1,1,0,163,27,1
1000+,Education,Social Media,5,4.3,4,0,2,1,0,37,46,0
201-500,Technology,Social Media,7,4.3,3,2,3,0,0,23,17,0
1-10,Technology,Paid Ads,7,5.3,2,0,1,0,0,142,73,0
1-10,Professional Services,Direct,9,9.4,2,0,1,0,0,150,41,0
1-10,Technology,Organic Search,10,6.2,4,1,2,0,0,72,28,0
51-200,Education,Event,3,2.7,1,1,3,0,1,98,2,1
501-1000,Retail,Direct,9,9.4,3,0,1,0,1,142,42,1
11-50,Technology,Organic Search,6,8.3,4,1,2,1,0,153,65,0
501-1000,Retail,Referral,8,11.4,3,1,1,0,0,75,10,1
1-10,Retail,Organic Search,2,6.8,1,1,5,0,0,141,45,0
501-1000,Professional Services,Social Media,5,8.2,2,2,2,1,0,143,83,0
1000+,Professional Services,Referral,5,6.3,5,2,2,1,0,142,78,0
201-500,Retail,Event,3,8.5,1,0,0,0,0,161,81,0
201-500,Manufacturing,Referral,3,5.8,1,0,3,0,0,150,80,0
501-1000,Financial Services,Paid Ads,5,2.5,3,0,0,0,0,81,24,0
1-10,Retail,Organic Search,3,11.9,4,0,0,0,1,57,14,0
11-50,Education,Organic Search,8,8.9,2,0,1,0,0,177,52,0
1-10,Manufacturing,Referral,6,7.7,2,1,4,1,0,80,64,0
51-200,Retail,Direct,4,6.3,5,1,0,0,0,167,34,0
201-500,Healthcare,Event,3,8.8,3,1,2,0,0,179,20,1
51-200,Professional Services,Paid Ads,10,2.4,3,1,1,0,0,3,14,1
501-1000,Education,Direct,9,4.6,3,1,1,1,0,26,45,0
11-50,Technology,Organic Search,2,2.4,6,1,1,0,0,101,4,0
201-500,Financial Services,Direct,9,2.4,2,0,1,0,0,16,61,0
11-50,Manufacturing,Organic Search,3,1.2,1,1,1,0,0,118,74,0
11-50,Manufacturing,Organic Search,2,9.3,3,0,0,0,1,3,74,1
201-500,Manufacturing,Direct,4,3.5,1,1,2,0,0,151,26,0
1000+,Technology,Referral,2,10.2,4,0,1,0,0,77,8,1
51-200,Healthcare,Direct,4,10.9,1,0,1,0,0,121,46,0
1-10,Manufacturing,Social Media,5,2.9,6,0,1,0,0,84,66,0
51-200,Manufacturing,Organic Search,1,8.8,4,4,0,0,0,124,81,0
1-10,Retail,Organic Search,6,6.1,1,1,0,0,0,122,10,1
501-1000,Retail,Paid Ads,7,11.1,2,2,0,0,0,52,1,0
201-500,Retail,Referral,2,6.3,1,1,1,1,0,144,12,1
11-50,Professional Services,Paid Ads,3,5.2,1,0,1,0,0,147,49,0
1-10,Retail,Organic Search,3,4.2,3,1,1,0,0,58,14,0
11-50,Manufacturing,Organic Search,9,10.9,1,1,1,0,0,12,85,0
1000+,Retail,Referral,7,3.5,4,2,0,0,1,81,31,1
51-200,Technology,Organic Search,6,10.1,3,0,0,0,1,118,72,0
201-500,Financial Services,Paid Ads,3,3.1,3,0,1,0,0,140,29,0
51-200,Manufacturing,Organic Search,9,8.1,3,0,1,1,0,37,19,0
51-200,Professional Services,Direct,5,6.0,2,0,1,0,0,86,7,0
1-10,Retail,Social Media,4,2.2,3,2,1,0,1,138,18,1
1000+,Technology,Organic Search,5,2.4,4,1,1,0,0,95,67,0
11-50,Manufacturing,Event,4,4.1,2,2,0,0,0,142,68,0
51-200,Financial Services,Referral,9,9.4,4,0,1,0,0,121,60,0
201-500,Retail,Referral,4,9.0,2,0,0,1,0,32,7,0
51-200,Professional Services,Paid Ads,7,3.3,3,0,3,1,0,38,28,0
1000+,Manufacturing,Paid Ads,4,6.2,8,3,1,1,0,143,53,1
1-10,Manufacturing,Direct,3,2.1,2,0,2,0,0,126,84,0
51-200,Financial Services,Organic Search,2,8.9,8,2,2,0,1,150,21,1
51-200,Healthcare,Social Media,3,9.7,4,1,4,0,0,53,16,0
51-200,Professional Services,Organic Search,5,10.8,4,0,1,0,0,10,75,0
1-10,Retail,Paid Ads,3,10.7,1,0,3,0,0,43,42,0
1-10,Manufacturing,Referral,9,4.7,7,2,1,0,0,77,34,0
11-50,Healthcare,Organic Search,7,3.8,3,3,3,0,0,22,34,0
11-50,Technology,Organic Search,4,10.9,3,2,1,1,0,35,37,1
51-200,Technology,Referral,8,2.6,2,0,2,1,0,26,43,1
51-200,Technology,Paid Ads,6,1.7,1,1,3,1,0,23,71,1
51-200,Healthcare,Direct,9,4.5,2,1,0,0,0,69,62,0
51-200,Education,Social Media,3,9.4,3,1,0,1,0,144,7,1
51-200,Manufacturing,Direct,4,8.6,7,1,0,0,0,68,11,0
11-50,Financial Services,Direct,5,11.9,1,0,0,0,0,53,54,0
51-200,Technology,Organic Search,3,5.0,3,3,4,0,0,99,75,0
11-50,Financial Services,Direct,6,4.0,5,1,2,0,0,116,86,0
1-10,Professional Services,Direct,7,5.2,0,0,4,0,0,63,80,0
51-200,Healthcare,Referral,3,9.6,3,2,1,1,0,1,58,0
51-200,Professional Services,Social Media,6,3.4,1,1,1,0,0,54,21,0
11-50,Professional Services,Paid Ads,3,11.4,1,0,0,1,0,15,7,0
51-200,Technology,Organic Search,3,6.6,4,0,0,0,0,26,66,0
51-200,Retail,Paid Ads,4,9.6,0,0,5,0,0,110,81,0
201-500,Education,Organic Search,6,10.1,7,1,1,1,0,33,36,1
51-200,Healthcare,Referral,2,6.3,3,1,1,0,0,67,11,0
201-500,Technology,Social Media,2,9.2,1,1,2,1,0,71,65,0
11-50,Education,Organic Search,9,5.0,3,1,0,0,0,158,33,1
201-500,Professional Services,Organic Search,2,9.9,1,0,1,0,0,28,57,0
51-200,Manufacturing,Organic Search,3,10.1,2,2,2,0,0,15,16,1
51-200,Manufacturing,Direct,9,7.2,7,3,2,0,0,96,32,1
51-200,Financial Services,Event,10,3.4,1,0,1,0,1,112,64,0
11-50,Professional Services,Organic Search,6,11.7,0,0,2,0,0,90,77,0
51-200,Manufacturing,Event,7,11.4,5,1,2,0,0,126,23,0
201-500,Technology,Event,5,7.8,2,0,1,0,0,155,71,0
501-1000,Retail,Event,10,11.8,6,2,1,1,0,110,23,1
1000+,Education,Direct,6,6.5,4,2,1,1,0,97,66,1
51-200,Professional Services,Referral,5,5.1,3,2,3,0,0,122,37,0
51-200,Financial Services,Organic Search,3,6.1,5,1,2,0,0,39,63,0
201-500,Technology,Direct,7,1.5,1,0,2,0,0,45,25,0
11-50,Education,Event,8,7.0,5,0,3,0,1,67,7,0
501-1000,Education,Paid Ads,3,8.3,4,0,0,0,0,138,70,0
51-200,Manufacturing,Referral,2,2.2,3,2,3,1,0,153,0,0
1-10,Retail,Referral,13,3.8,2,0,2,0,0,100,47,0
1-10,Healthcare,Referral,2,8.9,4,2,1,0,1,111,5,1
501-1000,Healthcare,Social Media,3,9.7,2,1,3,0,0,142,50,0
1-10,Technology,Organic Search,4,11.8,5,2,2,1,0,44,9,0
11-50,Technology,Referral,4,3.8,3,3,0,0,1,22,14,1
11-50,Financial Services,Paid Ads,4,10.3,2,2,1,0,0,134,88,0
11-50,Professional Services,Organic Search,2,2.9,4,1,0,0,0,23,82,0
11-50,Technology,Referral,2,2.4,2,0,0,0,0,29,40,0
201-500,Financial Services,Paid Ads,5,9.0,2,0,1,0,0,71,31,0
1-10,Manufacturing,Paid Ads,3,5.9,2,0,2,0,0,141,62,0
501-1000,Financial Services,Organic Search,7,9.7,3,1,1,0,0,70,33,1
501-1000,Technology,Referral,4,4.1,4,2,0,0,0,22,13,0
11-50,Manufacturing,Paid Ads,3,3.3,1,1,3,1,0,23,21,1
11-50,Healthcare,Organic Search,1,7.0,5,1,2,0,0,46,55,0
51-200,Retail,Event,5,2.3,0,0,2,1,0,15,86,1
1-10,Education,Social Media,6,4.1,0,0,0,0,0,59,58,0
11-50,Technology,Referral,7,2.8,4,1,2,1,0,15,54,0
1000+,Education,Social Media,5,4.5,0,0,2,0,0,152,70,0
1000+,Education,Paid Ads,7,9.4,3,2,4,0,0,10,5,0
201-500,Professional Services,Organic Search,1,2.3,2,1,4,0,0,36,56,0
11-50,Retail,Paid Ads,3,7.7,1,0,0,0,0,6,17,0
201-500,Retail,Event,3,7.4,1,1,0,1,0,53,37,0
201-500,Retail,Social Media,8,6.9,6,1,3,0,1,145,43,1
11-50,Retail,Event,4,6.3,4,1,1,0,0,104,65,1
51-200,Technology,Direct,8,8.3,0,0,0,0,0,168,16,0
1-10,Education,Organic Search,5,10.4,1,1,0,1,1,111,85,0
11-50,Manufacturing,Direct,5,2.8,2,2,3,0,0,77,54,0
51-200,Professional Services,Social Media,6,10.0,1,1,2,1,0,172,31,1
11-50,Healthcare,Referral,9,1.7,6,0,3,0,0,34,27,0
11-50,Technology,Referral,7,6.3,1,0,1,1,0,21,9,0
501-1000,Manufacturing,Referral,2,6.6,3,0,0,0,1,59,31,1
1000+,Manufacturing,Organic Search,4,3.2,3,3,0,0,0,167,10,0
51-200,Healthcare,Organic Search,5,2.0,3,1,1,0,0,147,70,0
501-1000,Financial Services,Paid Ads,3,1.8,6,1,3,1,0,97,71,0
1000+,Financial Services,Organic Search,4,1.4,1,1,0,0,0,167,47,0
1-10,Manufacturing,Organic Search,6,7.3,4,0,1,0,0,116,86,0
51-200,Healthcare,Organic Search,4,2.7,0,0,1,0,0,43,10,0
11-50,Education,Direct,4,9.9,1,1,1,0,1,1,79,0
1-10,Technology,Organic Search,7,10.9,2,2,1,0,0,6,33,0
201-500,Financial Services,Direct,4,4.2,2,0,3,0,0,153,68,0
51-200,Financial Services,Referral,4,2.8,3,0,0,0,0,56,80,0
51-200,Manufacturing,Organic Search,2,5.5,7,0,1,0,0,76,11,0
11-50,Manufacturing,Organic Search,4,10.7,4,0,1,0,0,69,76,0
11-50,Retail,Organic Search,8,5.4,4,0,3,0,0,16,89,0
1000+,Education,Paid Ads,10,2.2,2,2,3,0,0,1,68,1
1-10,Financial Services,Organic Search,5,11.8,7,0,2,0,0,131,13,0
11-50,Retail,Event,4,6.5,2,2,1,0,0,122,75,0
11-50,Technology,Paid Ads,4,4.8,5,1,3,0,0,41,25,0
51-200,Financial Services,Referral,3,10.8,4,2,1,0,0,23,8,0
51-200,Healthcare,Referral,7,11.2,5,2,1,0,0,93,57,0
51-200,Technology,Social Media,5,6.5,3,0,1,0,1,15,10,0
1-10,Retail,Direct,5,4.4,7,0,2,0,0,52,51,0
11-50,Retail,Paid Ads,7,6.3,2,2,0,0,0,129,1,0
501-1000,Retail,Paid Ads,5,3.4,7,1,1,0,0,32,66,1
51-200,Manufacturing,Direct,3,6.3,7,0,1,1,0,138,11,0
51-200,Retail,Direct,6,3.5,1,1,3,1,0,159,60,0
201-500,Healthcare,Event,2,7.8,4,2,1,0,0,33,74,0
201-500,Technology,Event,7,9.4,5,2,3,0,0,120,8,1
1-10,Technology,Paid Ads,7,11.7,2,0,4,0,0,138,3,0
11-50,Retail,Referral,5,10.3,1,1,2,0,0,93,79,1
51-200,Education,Paid Ads,5,1.9,1,1,2,0,0,54,41,0
11-50,Technology,Social Media,1,3.3,4,0,2,1,1,177,45,0
501-1000,Manufacturing,Event,6,6.8,0,0,2,0,1,56,22,1
51-200,Professional Services,Paid Ads,6,3.8,2,0,1,0,0,45,42,0
201-500,Professional Services,Referral,9,1.2,3,1,2,0,0,22,74,1
501-1000,Manufacturing,Event,4,9.3,4,1,2,0,0,163,75,1
51-200,Retail,Organic Search,3,4.9,2,2,6,0,0,41,72,1
1000+,Retail,Social Media,3,1.7,2,1,0,1,0,24,26,0
51-200,Professional Services,Event,2,6.6,2,0,1,0,0,7,68,1
501-1000,Technology,Organic Search,8,11.7,2,0,0,0,1,53,40,0
11-50,Education,Paid Ads,4,8.5,2,2,1,0,0,121,34,0
51-200,Technology,Organic Search,6,2.7,1,1,2,1,0,123,29,0
51-200,Professional Services,Organic Search,6,6.7,5,1,3,0,0,153,83,0
1-10,Technology,Referral,2,10.9,3,3,1,0,0,120,15,0
11-50,Technology,Social Media,5,1.6,1,0,1,1,0,9,80,0
1000+,Technology,Paid Ads,5,8.0,3,2,0,1,0,151,82,0
51-200,Healthcare,Social Media,3,8.9,6,2,2,0,0,46,58,0
11-50,Financial Services,Organic Search,5,8.7,2,0,2,1,0,172,2,0
11-50,Technology,Event,6,2.7,0,0,4,0,0,62,55,0
11-50,Healthcare,Paid Ads,7,11.0,2,0,2,0,1,3,10,1
1-10,Healthcare,Social Media,5,4.5,5,0,3,0,0,71,30,0
1000+,Professional Services,Organic Search,4,1.6,6,0,2,0,0,81,6,1
51-200,Professional Services,Event,6,1.9,3,1,1,1,0,148,66,0
11-50,Retail,Referral,8,6.0,2,0,3,0,0,99,43,0
51-200,Technology,Direct,1,1.4,2,0,1,0,0,8,84,0
1-10,Financial Services,Paid Ads,4,9.6,2,2,2,0,0,9,61,0
11-50,Education,Direct,5,10.5,6,1,2,0,1,110,28,1
201-500,Technology,Paid Ads,8,1.1,2,1,1,1,0,16,69,0
51-200,Healthcare,Organic Search,5,9.9,3,0,1,1,0,96,25,1
1000+,Education,Social Media,4,11.8,1,0,1,0,0,161,24,0
51-200,Education,Organic Search,3,1.3,3,0,2,0,1,151,23,0
51-200,Healthcare,Event,5,9.0,0,0,1,0,0,114,63,0
201-500,Retail,Paid Ads,2,12.0,3,1,3,1,0,55,88,0
1000+,Healthcare,Event,4,9.8,2,0,2,0,0,93,76,1
201-500,Professional Services,Referral,6,6.6,3,3,2,0,0,19,48,1
1000+,Technology,Referral,3,10.7,3,2,2,0,0,133,0,1
201-500,Technology,Social Media,1,8.8,6,0,2,1,0,24,87,0
501-1000,Retail,Social Media,6,4.2,4,1,0,0,0,10,34,0
1-10,Financial Services,Social Media,6,3.5,4,2,0,1,0,113,55,0
201-500,Retail,Social Media,7,6.6,3,0,3,0,0,103,38,0
51-200,Healthcare,Referral,1,5.1,3,2,0,0,0,98,26,0
51-200,Professional Services,Event,3,4.6,1,1,0,0,0,86,27,0
201-500,Professional Services,Paid Ads,5,3.0,3,2,1,1,0,107,52,0
1000+,Manufacturing,Organic Search,5,10.3,3,0,0,0,1,79,38,1
1000+,Professional Services,Social Media,12,8.8,1,1,2,1,0,25,13,1
11-50,Financial Services,Referral,8,4.6,5,0,5,0,0,103,34,1
201-500,Manufacturing,Direct,7,3.6,5,1,1,1,0,8,40,0
201-500,Technology,Direct,3,2.4,4,1,3,0,0,12,56,0
11-50,Professional Services,Direct,3,2.2,5,1,2,0,0,102,39,0
1-10,Professional Services,Referral,6,7.9,3,2,1,0,1,126,17,1
1-10,Education,Event,4,2.2,4,3,2,1,0,15,51,0
201-500,Professional Services,Paid Ads,5,11.6,2,0,2,0,0,68,75,0
51-200,Education,Organic Search,6,4.1,4,2,2,0,0,167,34,0
1000+,Financial Services,Event,6,1.3,2,0,1,0,0,140,57,0
51-200,Education,Event,8,10.4,8,0,0,1,0,144,40,0
1000+,Manufacturing,Organic Search,6,5.0,4,0,1,0,1,118,26,1
51-200,Healthcare,Direct,7,4.8,8,0,1,0,0,33,78,0
201-500,Manufacturing,Direct,5,2.3,3,0,0,0,0,70,86,0
1-10,Financial Services,Paid Ads,4,8.3,5,0,2,0,0,108,16,0
51-200,Financial Services,Organic Search,4,4.9,3,0,2,0,1,120,56,1
501-1000,Financial Services,Direct,6,10.1,5,0,0,1,1,24,83,1
1000+,Technology,Organic Search,6,7.9,2,2,1,1,1,174,48,1
501-1000,Manufacturing,Organic Search,5,10.7,4,1,3,0,0,168,48,1
1-10,Professional Services,Referral,4,7.8,3,0,2,0,0,7,86,0
11-50,Retail,Event,3,9.6,0,0,1,0,0,106,56,0
1-10,Manufacturing,Event,6,8.7,3,1,1,1,0,26,76,0
1-10,Healthcare,Social Media,4,6.1,5,1,0,1,0,57,9,0
201-500,Healthcare,Event,9,8.6,2,0,0,0,1,159,53,1
201-500,Financial Services,Social Media,5,8.3,2,1,1,1,0,122,13,0
201-500,Professional Services,Social Media,5,1.1,4,1,2,0,0,64,18,0
501-1000,Technology,Organic Search,1,8.7,3,2,1,1,0,1,65,1
201-500,Retail,Paid Ads,5,3.9,2,2,1,1,0,150,78,0
501-1000,Professional Services,Referral,4,7.0,1,1,1,0,0,52,81,0
1-10,Manufacturing,Organic Search,6,2.2,3,1,1,1,0,109,68,0
11-50,Professional Services,Paid Ads,8,1.3,4,2,0,0,0,42,46,0
51-200,Financial Services,Organic Search,6,1.2,3,1,1,0,1,142,39,0
501-1000,Professional Services,Organic Search,4,2.7,1,1,3,1,0,62,15,1
1-10,Retail,Referral,4,1.2,8,0,0,0,1,133,70,1
51-200,Professional Services,Organic Search,5,2.5,5,0,2,0,0,16,71,0
201-500,Retail,Organic Search,7,7.2,3,1,0,0,0,111,11,0
1-10,Professional Services,Event,5,5.4,2,0,1,0,0,174,82,0
51-200,Education,Event,6,11.8,2,0,1,0,1,85,29,1
501-1000,Healthcare,Social Media,5,9.9,1,1,3,1,0,84,60,1
201-500,Professional Services,Organic Search,4,2.6,2,1,2,1,0,123,11,0
11-50,Retail,Social Media,6,5.6,1,0,1,1,0,154,16,0
501-1000,Healthcare,Social Media,6,5.7,0,0,3,0,0,146,54,0
11-50,Education,Organic Search,4,5.0,4,0,0,1,0,11,37,0
501-1000,Healthcare,Organic Search,3,6.5,7,1,2,0,0,53,2,1
11-50,Manufacturing,Paid Ads,2,8.4,4,1,1,0,0,152,84,0
51-200,Technology,Paid Ads,7,8.0,2,0,0,0,1,175,79,0
11-50,Financial Services,Organic Search,3,4.9,3,0,1,0,0,117,17,0
11-50,Professional Services,Organic Search,6,8.8,4,1,0,0,0,1,58,0
501-1000,Healthcare,Referral,4,4.2,4,2,0,0,0,122,15,1
11-50,Healthcare,Referral,8,10.2,0,0,1,1,0,170,64,0
1-10,Financial Services,Referral,8,11.6,4,0,1,0,0,145,63,0
11-50,Manufacturing,Direct,5,4.2,3,1,1,1,0,130,67,1
201-500,Professional Services,Organic Search,5,9.6,2,2,4,0,1,95,48,0
501-1000,Professional Services,Event,0,9.9,4,1,0,0,0,162,2,1
1000+,Technology,Paid Ads,4,6.4,2,1,1,0,0,114,18,0
11-50,Manufacturing,Event,4,2.0,3,1,1,1,0,92,89,0
51-200,Healthcare,Social Media,6,9.6,3,0,1,0,0,162,55,0
1-10,Retail,Social Media,7,5.5,4,1,2,0,1,1,30,1
51-200,Healthcare,Social Media,4,3.3,3,0,0,1,1,23,84,0
1000+,Healthcare,Social Media,5,7.9,6,0,0,1,0,151,38,0
201-500,Manufacturing,Social Media,4,5.8,1,0,1,1,0,10,76,0
51-200,Manufacturing,Organic Search,3,2.0,1,1,4,0,0,161,72,0
11-50,Manufacturing,Paid Ads,14,11.8,5,3,2,0,0,176,0,0
1000+,Manufacturing,Event,5,3.7,4,2,2,0,1,47,83,1
51-200,Professional Services,Referral,3,6.6,4,0,1,0,0,158,78,1
1-10,Retail,Organic Search,4,8.3,2,2,0,0,1,98,89,0
11-50,Financial Services,Direct,10,2.3,5,3,1,1,1,93,56,1
1-10,Professional Services,Direct,5,9.1,8,2,1,1,0,166,62,0
11-50,Professional Services,Referral,5,8.1,7,1,1,0,0,140,24,0
1-10,Technology,Referral,7,6.4,3,3,2,1,0,160,13,0
51-200,Manufacturing,Paid Ads,5,6.8,2,1,1,0,0,158,8,0
51-200,Financial Services,Referral,9,11.5,0,0,2,0,0,131,15,1
11-50,Retail,Direct,10,11.0,5,2,0,0,0,84,87,0
51-200,Financial Services,Paid Ads,5,2.2,4,4,0,0,0,34,24,0
1000+,Retail,Paid Ads,4,5.1,4,3,1,0,0,18,2,0
201-500,Financial Services,Direct,3,6.7,3,0,2,1,0,46,61,0
51-200,Manufacturing,Paid Ads,5,11.1,2,1,2,0,0,87,16,0
11-50,Education,Direct,5,10.0,5,2,2,0,0,25,45,0
501-1000,Healthcare,Paid Ads,2,5.3,5,0,1,0,0,63,60,0
11-50,Professional Services,Organic Search,4,10.7,1,0,1,0,0,143,51,0
11-50,Education,Direct,5,5.2,3,1,1,0,0,5,68,0
1000+,Professional Services,Organic Search,3,4.0,3,2,1,0,0,56,1,0
51-200,Technology,Social Media,7,7.7,2,2,2,0,0,172,23,1
201-500,Professional Services,Organic Search,8,4.9,8,2,2,1,0,59,36,0
51-200,Technology,Social Media,10,7.8,5,3,2,1,0,129,66,1
201-500,Healthcare,Organic Search,4,5.5,4,1,3,0,0,110,48,0
11-50,Professional Services,Event,4,9.8,3,2,3,1,0,141,68,1
11-50,Retail,Direct,4,11.5,3,3,1,0,0,131,66,0
11-50,Manufacturing,Organic Search,8,4.0,3,3,0,0,0,107,72,0
11-50,Healthcare,Paid Ads,4,6.6,4,1,2,0,0,174,54,0
501-1000,Professional Services,Social Media,8,9.0,3,0,3,0,1,49,67,1
11-50,Retail,Direct,6,2.7,7,1,3,1,0,51,61,0
51-200,Healthcare,Paid Ads,3,9.8,3,0,2,1,0,105,2,1
201-500,Professional Services,Direct,8,7.4,5,2,1,1,0,128,25,0
201-500,Financial Services,Direct,6,2.6,1,1,0,0,0,122,80,0
51-200,Technology,Social Media,2,10.6,1,1,2,0,0,172,8,0
51-200,Retail,Paid Ads,5,5.7,6,1,1,0,0,107,50,0
1000+,Education,Referral,6,2.9,3,0,5,0,1,137,68,1
201-500,Financial Services,Social Media,8,3.1,3,0,3,1,1,23,38,1
501-1000,Financial Services,Social Media,5,9.6,5,1,0,1,0,7,16,0
1000+,Technology,Paid Ads,6,11.3,0,0,1,1,1,146,2,1
201-500,Professional Services,Referral,5,5.2,1,1,2,1,0,81,59,0
11-50,Financial Services,Event,3,1.9,1,1,3,0,0,54,53,0
51-200,Manufacturing,Referral,3,2.1,2,0,0,1,1,135,62,0
1-10,Education,Referral,8,8.2,1,0,2,1,0,72,14,0
201-500,Technology,Paid Ads,7,5.1,1,0,2,0,0,6,42,0
1000+,Manufacturing,Organic Search,5,5.7,3,1,1,0,1,99,49,0
51-200,Manufacturing,Organic Search,7,4.7,3,1,4,0,0,23,75,0
51-200,Professional Services,Paid Ads,3,6.1,5,1,4,0,0,175,17,0
1-10,Healthcare,Social Media,6,8.1,1,0,0,0,0,59,62,0
1000+,Healthcare,Event,4,7.0,3,2,0,1,1,56,61,1
1-10,Technology,Organic Search,6,2.8,3,1,2,1,0,151,53,0
1-10,Retail,Paid Ads,6,6.4,0,0,0,1,0,8,7,1
11-50,Professional Services,Event,6,6.1,5,1,1,0,0,122,10,0
1-10,Technology,Organic Search,2,7.0,0,0,1,0,1,175,54,0
51-200,Healthcare,Direct,7,2.2,2,0,0,0,0,6,56,0
51-200,Professional Services,Social Media,3,2.7,2,1,0,0,0,172,57,0
11-50,Technology,Direct,5,6.8,4,0,4,0,1,111,69,1
1-10,Financial Services,Social Media,6,4.0,4,1,2,1,0,36,35,0
1-10,Manufacturing,Direct,1,7.9,1,1,2,1,0,153,26,0
11-50,Financial Services,Social Media,7,5.1,2,0,0,1,0,149,82,0
1-10,Financial Services,Paid Ads,5,3.4,0,0,1,0,0,176,62,0
201-500,Healthcare,Event,5,8.2,5,1,2,0,0,165,47,1
11-50,Technology,Organic Search,6,5.3,2,2,0,0,0,110,50,0
11-50,Manufacturing,Referral,5,2.7,5,2,4,0,0,3,67,1
11-50,Retail,Paid Ads,5,9.9,7,1,0,1,0,134,27,1
51-200,Manufacturing,Event,5,5.7,3,0,2,0,0,136,40,1
1-10,Technology,Event,10,11.1,2,2,0,0,0,139,3,1
1-10,Professional Services,Direct,7,3.1,2,0,0,1,0,33,71,1
501-1000,Technology,Organic Search,5,10.6,2,0,2,0,0,132,45,1
1-10,Professional Services,Direct,7,10.0,3,1,0,0,0,149,80,0
51-200,Healthcare,Event,2,2.1,2,0,1,1,0,14,26,1
51-200,Professional Services,Paid Ads,5,6.8,3,0,1,0,0,4,37,0
11-50,Financial Services,Organic Search,6,8.2,2,1,1,0,0,15,4,1
51-200,Technology,Paid Ads,3,6.5,4,1,3,0,0,124,87,1
201-500,Manufacturing,Organic Search,4,5.3,7,0,1,0,0,54,30,0
501-1000,Technology,Social Media,6,11.4,4,1,0,0,0,147,13,0
11-50,Financial Services,Organic Search,9,8.7,2,0,0,0,0,172,55,0
11-50,Retail,Paid Ads,3,11.6,6,2,0,0,0,7,76,0
11-50,Professional Services,Social Media,4,10.3,5,0,5,0,0,133,10,0
51-200,Technology,Referral,2,10.0,7,0,1,0,0,136,47,0
201-500,Professional Services,Direct,8,9.0,4,3,2,0,0,14,42,1
11-50,Professional Services,Organic Search,8,8.1,3,2,3,0,0,22,12,0
11-50,Professional Services,Referral,2,10.8,6,1,1,0,0,145,24,1
1000+,Retail,Direct,7,7.7,3,1,1,1,0,15,56,0
1-10,Retail,Paid Ads,7,1.8,2,0,0,0,0,36,89,0
51-200,Manufacturing,Referral,5,7.4,3,2,1,0,0,165,11,0
201-500,Retail,Direct,6,2.1,3,1,2,0,0,131,56,0
11-50,Education,Referral,4,11.4,3,1,2,0,0,166,79,0
